"chemical_input_pkey","study_year","treatment_fkey","treatment","treatment_long","crop","blocks","chemical_purpose","application_timing","application_date","application_mode","trade_name","active_ingredient","active_ingredient_concentration_value","active_ingredient_concentration_unit","application_rate_value_active_ingredient","application_rate_unit_active_ingredient","reference_chemical","application_rate_of_reference_chemical_value","application_rate_of_reference_chemical_unit","tractor","implement","original_entry","comment"
253,"2016",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2016-06-16,"broadcast","Ultra Blazer","acifluorfen-sodium",NA,NA,15,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3320 sprayer (90-foot boom)","Corn and Soybean sprayed with post-emergence herbicide. Corn: Laudis (3oz/acre) (+MSO and Qwest). Soybean: Roundup PowerMax (26oz/acre) + Ultra Blazer (15oz/acre). Case Patriot 3320 sprayer w/ 90' boom was used.",NA
254,"2015",4,"P","prairie","prairie","1, 2, 3, 4","manual_weeding","post-emergence",2016-07-09,"hand_pull","not_listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Removed sweet clover from prairie plots (by hand)",NA
255,"2015",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","manual_weeding","post-emergence",2016-07-09,"hand_pull","not_listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Removed sweet clover from prairie plots (by hand)",NA
256,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,333,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
257,"2017",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,333,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
258,"2017",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,333,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
259,"2017",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2017-04-24,"air_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,333,"lb_per_ac","potassium oxide (K2O)",200,"lb_per_ac",NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
260,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,333,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
261,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,217,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
262,"2017",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,217,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
263,"2017",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,217,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
264,"2017",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2017-04-24,"air_spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,217,"lb_per_ac","phosphorus pentoxide (P2O5)",100,"lb_per_ac",NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
265,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","Triple superphosphate (TSP)","monocalcium phosphate (Ca(H2PO4)2)",NA,NA,217,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
266,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","not_listed","sulphur (S)",NA,NA,25,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
267,"2017",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","not_listed","sulphur (S)",NA,NA,25,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
268,"2017",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","not_listed","sulphur (S)",NA,NA,25,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
269,"2017",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2017-04-24,"air_spreader","not_listed","sulphur (S)",NA,NA,25,"lb_per_ac","sulphur",25,"lb_per_ac",NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
270,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2017-04-24,"air_spreader","not_listed","sulphur (S)",NA,NA,25,"lb_per_ac",NA,NA,NA,NA,"Valmar Airflo 5500 pull-type air boom applicator (40-foot boom)","Fertilizer spread (P,K and S) with Valmar air spreader.  Valmar has 20' boom, so fertilizer was applied East-West across the plots.
All plots, except un-fertilized praried received TSP, KCl and S at the following rates:
217 lbs/acre TSP, 333 lbs/acre KCl, 25 lbs/acre S",NA
271,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2017-04-25,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,32,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe self-propelled sprayer","Roundup Powermax applied at 32 oz/acre to all corn and soybean plots to terminate rye and burndown.
Ziegler 4660 SpraCoupe w/ 60ft boom was used.",NA
272,"2017",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","pre-emergence",2017-04-25,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,32,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe self-propelled sprayer","Roundup Powermax applied at 32 oz/acre to all corn and soybean plots to terminate rye and burndown.
Ziegler 4660 SpraCoupe w/ 60ft boom was used.",NA
273,"2017",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","pre-emergence",2017-04-25,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,32,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe self-propelled sprayer","Roundup Powermax applied at 32 oz/acre to all corn and soybean plots to terminate rye and burndown.
Ziegler 4660 SpraCoupe w/ 60ft boom was used.",NA
274,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","pre-emergence",2017-04-25,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,32,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe self-propelled sprayer","Roundup Powermax applied at 32 oz/acre to all corn and soybean plots to terminate rye and burndown.
Ziegler 4660 SpraCoupe w/ 60ft boom was used.",NA
275,"2017",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2017-04-27,"broadcast","UAN","urea ammonium nitrate",32,"percent",28.7,"gal_per_ac","nitrogen (N)",97.4,"lb_per_ac","John Deere 5103","Sprayer Specialities sprayer (15-foot boom)","97.4 lbs/acre of Nitrogen was applied to PF plots.
John Deere 5103 tractor and sprayer specialties 15' boom sprayer were used.
Tractor Speed: 2.9 mph @ 2400 rpm
Tank Pressue: 30psi (36oz/min = 0.28 gal/min), applying 28.7 gal/ac of 32% UAN = 97.4 lbs/acre of N",NA
276,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2017-05-09,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,36,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","Round up Powermax re-applied to CCW plots at a rate of 36oz/acre.
Case Patrior 3340 sprayer was used.  Previous application was ineffective due to broken/leaking injector on the Ziegler SpraCoupe.","The injector was broken during previous application."
277,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2017-05-15,"broadcast","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
278,"2017",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2017-05-15,"broadcast","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
279,"2017",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2017-05-15,"broadcast","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",75,"lb_per_ac",NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
280,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2017-05-15,"broadcast","Corvus","thiencarbazone-methyl + isoxaflutole",NA,NA,5.6,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
281,"2017",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","pre-emergence",2017-05-15,"broadcast","Corvus","thiencarbazone-methyl + isoxaflutole",NA,NA,5.6,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
282,"2017",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","pre-emergence",2017-05-15,"broadcast","Corvus","thiencarbazone-methyl + isoxaflutole",NA,NA,5.6,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
283,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2017-05-15,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,24,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
284,"2017",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","pre-emergence",2017-05-15,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,24,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
285,"2017",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","pre-emergence",2017-05-15,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,24,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32).
Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
286,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","pre-emergence",2017-05-31,"broadcast","Boundary","S-metolachlor + metribuzin",NA,NA,32,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","Soybean plots sprayed with Boundary (32 oz/acre) and Roundup Powermax (36 oz/acre).
Case patriot 3340 sprayer was used.",NA
287,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","pre-emergence",2017-05-31,"broadcast","Roundup PowerMAX","glyphosate",NA,NA,36,"oz_per_ac",NA,NA,NA,NA,"Case IH Patriot 3340 sprayer","Soybean plots sprayed with Boundary (32 oz/acre) and Roundup Powermax (36 oz/acre).
Case patriot 3340 sprayer was used.",NA
288,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","post-emergence",2017-06-16,"broadcast","not_listed",NA,NA,NA,NA,NA,"nitrogen (N)",75,"lb_per_ac","John Deere 6140","Blu-Jet JetStream side dresser (12-row)","Corn plots sidedressed with nitrogen. All corn plots received 75lbs/acre of nitrogen.
John Deere 6140R tractor and Jet stream sidedress rig were used.",NA
289,"2017",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","post-emergence",2017-06-16,"broadcast","not_listed",NA,NA,NA,NA,NA,"nitrogen (N)",75,"lb_per_ac","John Deere 6140","Blu-Jet JetStream side dresser (12-row)","Corn plots sidedressed with nitrogen. All corn plots received 75lbs/acre of nitrogen.
John Deere 6140R tractor and Jet stream sidedress rig were used.",NA
290,"2017",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","post-emergence",2017-06-16,"broadcast","not_listed",NA,NA,NA,NA,NA,"nitrogen (N)",75,"lb_per_ac","John Deere 6140","Blu-Jet JetStream side dresser (12-row)","Corn plots sidedressed with nitrogen. All corn plots received 75lbs/acre of nitrogen.
John Deere 6140R tractor and Jet stream sidedress rig were used.",NA
291,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","adjuvant","post-emergence",2017-06-19,"broadcast","Crop oil concentrate (COC)","crop oil concentrate",1,"percent",25.6,"oz_per_ac",NA,NA,NA,"John Deere 5103","Sprayer Specialities sprayer (15-foot boom)","Soybean plots sprayed with post-emergence herbicide.  Spray pump/volume issues let to incomplete coverage in the west end of plot 45.John Deere 5103 tractor and sprayer specialties 15' boom sprayer were used.Tank mix for 1.8 acres: 36 gal of water + 28.8 oz Ultra Blazer (16oz/ac) + 21.6oz Fusion (12oz/ac) + 46oz COC (1%).Tractor Speed: 4mph (2400rpm), Tank Pressure: 30psi",NA
292,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2017-06-19,"broadcast","Fusion","fluazifop-P-butyl + fenoxaprop-P-ethyl",NA,NA,12,"oz_per_ac",NA,NA,NA,"John Deere 5103","Sprayer Specialities sprayer (15-foot boom)","Soybean plots sprayed with post-emergence herbicide.  Spray pump/volume issues let to incomplete coverage in the west end of plot 45.John Deere 5103 tractor and sprayer specialties 15' boom sprayer were used.Tank mix for 1.8 acres: 36 gal of water + 28.8 oz Ultra Blazer (16oz/ac) + 21.6oz Fusion (12oz/ac) + 46oz COC (1%).Tractor Speed: 4mph (2400rpm), Tank Pressure: 30psi",NA
293,"2017",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2017-06-19,"broadcast","Ultra Blazer","acifluorfen-sodium",NA,NA,16,"oz_per_ac",NA,NA,NA,"John Deere 5103","Sprayer Specialities sprayer (15-foot boom)","Soybean plots sprayed with post-emergence herbicide.  Spray pump/volume issues let to incomplete coverage in the west end of plot 45.John Deere 5103 tractor and sprayer specialties 15' boom sprayer were used.Tank mix for 1.8 acres: 36 gal of water + 28.8 oz Ultra Blazer (16oz/ac) + 21.6oz Fusion (12oz/ac) + 46oz COC (1%).Tractor Speed: 4mph (2400rpm), Tank Pressure: 30psi",NA
294,"2017",6,"S2","soy_corn_rotation","soybean","2","manual_weeding","post-emergence",2017-06-26,"hand_pull","not_listed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulled volunteer corn in plot 22.","See 5/15/2017 overplanting entry"
295,"2017",6,"S2","soy_corn_rotation","soybean","4","adjuvant","post-emergence",2017-06-27,"broadcast","Crop oil concentrate (COC)","crop oil concentrate",1,"percent",25.6,"oz_per_ac",NA,NA,NA,"John Deere 5103","Sprayer Specialities sprayer (15-foot boom)","Re-sprayed west end of plot 45 (see 6/19 entry), with Fusion + Ultra Blazer","Tank mix for 1.8 acres: 36 gal of water + 28.8 oz Ultra Blazer (16oz/ac) + 21.6oz Fusion (12oz/ac) + 46oz COC (1%)"
296,"2017",6,"S2","soy_corn_rotation","soybean","4","herbicide","post-emergence",2017-06-27,"broadcast","Fusion","fluazifop-P-butyl + fenoxaprop-P-ethyl",NA,NA,12,"oz_per_ac",NA,NA,NA,"John Deere 5103","Sprayer Specialities sprayer (15-foot boom)","Re-sprayed west end of plot 45 (see 6/19 entry), with Fusion + Ultra Blazer",NA
297,"2017",6,"S2","soy_corn_rotation","soybean","4","herbicide","post-emergence",2017-06-27,"broadcast","Ultra Blazer","acifluorfen-sodium",NA,NA,16,"oz_per_ac",NA,NA,NA,"John Deere 5103","Sprayer Specialities sprayer (15-foot boom)","Re-sprayed west end of plot 45 (see 6/19 entry), with Fusion + Ultra Blazer",NA
298,"2017",4,"P","prairie","prairie","1, 2, 3, 4","manual_weeding","post-emergence",2017-09-21,"spot_spray","not_listed","glyphostate",50,"percent",1,"per_stem",NA,NA,NA,NA,NA,"Removed cottonwood trees from prairie plots.  Clipped trees and applied 50/50 glyphosate/water to stumps.",NA
299,"2017",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","manual_weeding","post-emergence",2017-09-21,"spot_spray","not_listed","glyphostate",50,"percent",1,"per_stem",NA,NA,NA,NA,NA,"Removed cottonwood trees from prairie plots.  Clipped trees and applied 50/50 glyphosate/water to stumps.",NA
300,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","MicroEssentials Phosphate Fertilizer (MESZ)","nitrogen + phosphorus + sulfur + zinc",NA,NA,200,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
301,"2018",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","MicroEssentials Phosphate Fertilizer (MESZ)","nitrogen + phosphorus + sulfur + zinc",NA,NA,200,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
302,"2018",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","MicroEssentials Phosphate Fertilizer (MESZ)","nitrogen + phosphorus + sulfur + zinc",NA,NA,200,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
303,"2018",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2018-04-06,"bulk_spreader","MicroEssentials Phosphate Fertilizer (MESZ)","nitrogen + phosphorus + sulfur + zinc",NA,NA,200,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
304,"2018",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","MicroEssentials Phosphate Fertilizer (MESZ)","nitrogen + phosphorus + sulfur + zinc",NA,NA,200,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
305,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,150,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
306,"2018",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,150,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
307,"2018",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,150,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
308,"2018",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2018-04-06,"bulk_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,150,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
309,"2018",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","Muriate of potash (MOP)","potassium chloride (KCl)",NA,NA,150,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
310,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2018-04-06,"bulk_spreader","not_listed","sulphur (S)",NA,NA,12,"lb_per_ac",NA,NA,NA,NA,"New Leader EDGE hopper spreader","Applied fertilizer to all plots, except unfertilized prairie. New leader EDGE bulk spreader was used. Material Applied: 200lbs/ac MESZ, 150lbs/ac MOP, 12lbs/ac S.",NA
