"harvest_activity_pkey","study_year","treatment_fkey","treatment","treatment_long","blocks","crop","activity_date","activity","cutting_height_inches","tractor","implement","swath_value","swath_units","original_entry","comment"
183,"2016",4,"P","prairie","1, 2, 3","prairie_biomass",2016-10-27,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie biomass sampling in blocks 1, 2 and 3. 8x 0.28m^2 quadrats were taken from each plot.  Two quadrats were taken per quadrant (NE, NW, SE, SW). The tops and bottoms of the plants were collected and weighed separatly.  (Bottoms include approx. 8 inches above ground).",NA
184,"2016",5,"PF","prairie_fertilized","1, 2, 3","prairie_biomass",2016-10-27,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie biomass sampling in blocks 1, 2 and 3. 8x 0.28m^2 quadrats were taken from each plot.  Two quadrats were taken per quadrant (NE, NW, SE, SW). The tops and bottoms of the plants were collected and weighed separatly.  (Bottoms include approx. 8 inches above ground).",NA
185,"2016",4,"P","prairie","4","prairie_biomass",2016-10-28,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie biomass sampling completed in blocks 3 and 4.  See 10/27 for details",NA
186,"2016",5,"PF","prairie_fertilized","4","prairie_biomass",2016-10-28,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie biomass sampling completed in blocks 3 and 4.  See 10/27 for details",NA
187,"2016",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2016-11-08,"mow",NA,NA,"John Deere 5830 combine",NA,NA,"Prairie biomass machine harvested.  John Deere 5830 chopper/harvester used with Meyer 4220 forage wagon. Weights were obtained from wagon w/ Weigh-tronix scale.  Inner 66 feet of each plot used for data collection.",NA
188,"2016",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2016-11-08,"mow",NA,NA,"John Deere 5830 combine",NA,NA,"Prairie biomass machine harvested.  John Deere 5830 chopper/harvester used with Meyer 4220 forage wagon. Weights were obtained from wagon w/ Weigh-tronix scale.  Inner 66 feet of each plot used for data collection.",NA
189,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2017-04-24,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye for above ground biomass in CCW plots. 4 x 0.28m2 quadrats taken per plot.",NA
190,"2017",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2017-10-18,"chop_stover",NA,NA,"John Deere 9450 combine",12,"rows","Corn harvested in all corn plots. Moisture taken from combine, weights from Brent weigh wagon. John Deere 9450 combine with 12 row head used. Inner 12 rows of each plot were used for data collection. Corn stalks were chopped as corn was harvested (combine outfitted with stalk choppers).",NA
191,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2017-10-18,"chop_stover",NA,NA,"John Deere 9450 combine",12,"rows","Corn harvested in all corn plots. Moisture taken from combine, weights from Brent weigh wagon. John Deere 9450 combine with 12 row head used. Inner 12 rows of each plot were used for data collection. Corn stalks were chopped as corn was harvested (combine outfitted with stalk choppers).",NA
192,"2017",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2017-10-18,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",12,"rows","Corn harvested in all corn plots. Moisture taken from combine, weights from Brent weigh wagon. John Deere 9450 combine with 12 row head used. Inner 12 rows of each plot were used for data collection. Corn stalks were chopped as corn was harvested (combine outfitted with stalk choppers).",NA
193,"2017",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2017-10-18,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",12,"rows","Corn harvested in all corn plots. Moisture taken from combine, weights from Brent weigh wagon. John Deere 9450 combine with 12 row head used. Inner 12 rows of each plot were used for data collection. Corn stalks were chopped as corn was harvested (combine outfitted with stalk choppers).",NA
194,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2017-10-18,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",12,"rows","Corn harvested in all corn plots. Moisture taken from combine, weights from Brent weigh wagon. John Deere 9450 combine with 12 row head used. Inner 12 rows of each plot were used for data collection. Corn stalks were chopped as corn was harvested (combine outfitted with stalk choppers).",NA
195,"2017",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2017-10-18,"weigh_stover",NA,NA,"John Deere 9450 combine",12,"rows","Corn harvested in all corn plots. Moisture taken from combine, weights from Brent weigh wagon. John Deere 9450 combine with 12 row head used. Inner 12 rows of each plot were used for data collection. Corn stalks were chopped as corn was harvested (combine outfitted with stalk choppers).",NA
196,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2017-10-18,"weigh_stover",NA,NA,"John Deere 9450 combine",12,"rows","Corn harvested in all corn plots. Moisture taken from combine, weights from Brent weigh wagon. John Deere 9450 combine with 12 row head used. Inner 12 rows of each plot were used for data collection. Corn stalks were chopped as corn was harvested (combine outfitted with stalk choppers).",NA
197,"2017",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2017-10-19,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",6,"rows","Soybean harvested in all S2 plots. John Deere 9450 plot combine with 6 row head was used.  Moisture and weights were taken from the combine. The middle 24 rows of each plot were used for data collection.",NA
198,"2017",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2017-10-20,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover raked and baled in all CCW plots.  John Deere 6140R tractor and John Deere 458 Silage Special baler were used.",NA
199,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2017-10-20,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover raked and baled in all CCW plots.  John Deere 6140R tractor and John Deere 458 Silage Special baler were used.",NA
200,"2017",4,"P","prairie","1, 2","prairie_biomass",2017-11-06,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie Biomass sampling in Blocks 1 and 2. 2x 0.28m^2 quadrats sampled per sub plot QUADRANT. (8 total quadrants/per plot). Tops and bottoms of the plants were bagged and weighed separatly.  (Bottom = 6-8"" above ground).",NA
201,"2017",5,"PF","prairie_fertilized","1, 2","prairie_biomass",2017-11-06,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie Biomass sampling in Blocks 1 and 2. 2x 0.28m^2 quadrats sampled per sub plot QUADRANT. (8 total quadrants/per plot). Tops and bottoms of the plants were bagged and weighed separatly.  (Bottom = 6-8"" above ground).",NA
202,"2017",4,"P","prairie","3, 4","prairie_biomass",2017-11-08,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie biomass sampling in blocks 3 and 4. See 11/6 for details.",NA
203,"2017",5,"PF","prairie_fertilized","3, 4","prairie_biomass",2017-11-08,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie biomass sampling in blocks 3 and 4. See 11/6 for details.",NA
204,"2017",4,"P","prairie","1","prairie_biomass",2017-11-09,"mow",NA,NA,NA,NA,NA,"Combine prairie harvest.  Prairie harvested in plot 13 before combine broke down.",NA
205,"2017",4,"P","prairie","2, 3, 4","prairie_biomass",2017-11-15,"mow",NA,NA,NA,NA,NA,"Combine prairie harvest. Prairie harvested/chopped in remaining plots and weighed for biomass. Weights were obtained from weigh wagon.  The middle 60' of each plot were used for biomass data.",NA
206,"2017",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2017-11-15,"mow",NA,NA,NA,NA,NA,"Combine prairie harvest. Prairie harvested/chopped in remaining plots and weighed for biomass. Weights were obtained from weigh wagon.  The middle 60' of each plot were used for biomass data.",NA
207,"2017",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2017-11-15,"weigh_biomass",NA,NA,NA,NA,NA,"Combine prairie harvest. Prairie harvested/chopped in remaining plots and weighed for biomass. Weights were obtained from weigh wagon.  The middle 60' of each plot were used for biomass data.",NA
208,"2017",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2017-11-15,"weigh_biomass",NA,NA,NA,NA,NA,"Combine prairie harvest. Prairie harvested/chopped in remaining plots and weighed for biomass. Weights were obtained from weigh wagon.  The middle 60' of each plot were used for biomass data.",NA
209,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2018-05-09,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye in CCW plots. 4 x 0.28m^2 quadrats were taken per plot.",NA
210,"2018",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2018-10-17,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",4,"rows","Corn harvested in all corn plots. John Deere 9450 plot combine, with 4 row head was used. The middle 24 rows of each plot were used for data collection, moisture and yield data taken from the combine.",NA
211,"2018",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2018-10-17,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",4,"rows","Corn harvested in all corn plots. John Deere 9450 plot combine, with 4 row head was used. The middle 24 rows of each plot were used for data collection, moisture and yield data taken from the combine.",NA
212,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2018-10-17,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",4,"rows","Corn harvested in all corn plots. John Deere 9450 plot combine, with 4 row head was used. The middle 24 rows of each plot were used for data collection, moisture and yield data taken from the combine.",NA
213,"2018",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2018-10-23,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",6,"rows","Soybeans harvested in all S2 plots. John Deere 9450 plot combine, with 6 row grain head was used. The middle 24 rows of each plot were used for data collection, moisture and yield data taken from the combine.",NA
214,"2018",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2018-10-30,"chop_stover",NA,"John Deere 6450","John Deere 115 drawn flail shredder",15,"feet","Corn stalks chopped on all CC and CCW plots. John Deere 6450 tractor and John Deere 115 flail mower were used.",NA
215,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2018-10-30,"chop_stover",NA,"John Deere 6450","John Deere 115 drawn flail shredder",15,"feet","Corn stalks chopped on all CC and CCW plots. John Deere 6450 tractor and John Deere 115 flail mower were used.",NA
216,"2018",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2018-10-31,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Corn stalks were raked and baled in all CC and CCW plots. Raking: John Deere 6124R tractor and John Deere hay rake. Baling: John Deere 6140R tractor and John Deere 458 Silage Special baler.",NA
217,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2018-10-31,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Corn stalks were raked and baled in all CC and CCW plots. Raking: John Deere 6124R tractor and John Deere hay rake. Baling: John Deere 6140R tractor and John Deere 458 Silage Special baler.",NA
218,"2018",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2018-11-13,"bale_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie material baled in all prairie plots. John Deere 6140R tractor and John Deere 458 Silage Special baler were used. Material was too dense and could not be raked before baling.",NA
219,"2018",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2018-11-13,"bale_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie material baled in all prairie plots. John Deere 6140R tractor and John Deere 458 Silage Special baler were used. Material was too dense and could not be raked before baling.",NA
220,"2018",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2018-11-13,"mow","6","John Deere 6420","Case IH MDX91 disc mower",NA,NA,"Prairie chopped in all prairie plots. John Deere 6420 tractor and Case MDX91 disc mower were used. Prairie chopped to a height of approx. 6"".",NA
221,"2018",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2018-11-13,"mow","6","John Deere 6420","Case IH MDX91 disc mower",NA,NA,"Prairie chopped in all prairie plots. John Deere 6420 tractor and Case MDX91 disc mower were used. Prairie chopped to a height of approx. 6"".",NA
222,"2019",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2019-05-13,"harvest_plant_hand",NA,NA,NA,NA,NA,"Samples were collected from CCW plots on 5/13/2019 and dried in the lab oven at 40C. 4 x 0.28m^2 quadrats were collected per plot for a total sample area of 1.12m^2.",NA
223,"2019",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2019-10-27,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",4,"rows","Soybeans harvested in all sobyean plots. The middle 24 rows of each plot were used for data collection. John Deere 9450 plot combine was used (4 row head).",NA
224,"2019",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2019-11-14,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",4,"rows","Corn was harvested on 11/14/2019 with a John Deere 9450 plot combine with 4 row head.  Moisture and Yield values were obtained from the combine. The middle 24 rows of each plot were use for data collection.",NA
225,"2019",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2019-11-14,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",4,"rows","Corn was harvested on 11/14/2019 with a John Deere 9450 plot combine with 4 row head.  Moisture and Yield values were obtained from the combine. The middle 24 rows of each plot were use for data collection.",NA
226,"2019",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2019-11-14,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",4,"rows","Corn was harvested on 11/14/2019 with a John Deere 9450 plot combine with 4 row head.  Moisture and Yield values were obtained from the combine. The middle 24 rows of each plot were use for data collection.",NA
227,"2019",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2019-11-18,"chop_stover",NA,"John Deere 6450","John Deere 115 drawn flail shredder",15,"feet","Stalks were chopped on all CC and CCW plots on 11/18/2019 with John Deere 6450 tractor and John Deere 115 flail mower.",NA
228,"2019",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2019-11-18,"chop_stover",NA,"John Deere 6450","John Deere 115 drawn flail shredder",15,"feet","Stalks were chopped on all CC and CCW plots on 11/18/2019 with John Deere 6450 tractor and John Deere 115 flail mower.",NA
229,"2019",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2019-11-20,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover was raked and baled on 11/20/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special Baler. To obtain moisture, samples were taken from the plots before baling.  Bale weights were obtained from the baler.",NA
230,"2019",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2019-11-20,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover was raked and baled on 11/20/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special Baler. To obtain moisture, samples were taken from the plots before baling.  Bale weights were obtained from the baler.",NA
231,"2019",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2019-11-20,"weigh_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover was raked and baled on 11/20/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special Baler. To obtain moisture, samples were taken from the plots before baling.  Bale weights were obtained from the baler.",NA
232,"2019",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2019-11-20,"weigh_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover was raked and baled on 11/20/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special Baler. To obtain moisture, samples were taken from the plots before baling.  Bale weights were obtained from the baler.",NA
233,"2020",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2020-04-21,"harvest_plant_hand",NA,NA,NA,NA,NA,"Rye biomass was sampled in all CCW plots. 4 x 0.28m^2 quadrats were sampled per plot.",NA
234,"2020",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2020-10-07,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",6,"rows","Soybeans harvested in all soybean plots. John Deere 9450 plot combine with 6 row grain head was used. The center 24 rows of each plot were used for data collection. Yield and moisture values collected from the combine.",NA
235,"2020",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2020-10-08,"harvest_grain_combine",NA,NA,"John Deere 9870 STS combine",8,"rows","Corn harvested in all corn plots. John Deere 9870 STS combine with 8 row head were used. The center 24 rows of each plot were used for data collection. Moisture data taken from the combine, weights/yeild taken from Brent 1080 weigh wagon.",NA
236,"2020",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2020-10-08,"harvest_grain_combine",NA,NA,"John Deere 9870 STS combine",8,"rows","Corn harvested in all corn plots. John Deere 9870 STS combine with 8 row head were used. The center 24 rows of each plot were used for data collection. Moisture data taken from the combine, weights/yeild taken from Brent 1080 weigh wagon.",NA
237,"2020",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2020-10-08,"harvest_grain_combine",NA,NA,"John Deere 9870 STS combine",8,"rows","Corn harvested in all corn plots. John Deere 9870 STS combine with 8 row head were used. The center 24 rows of each plot were used for data collection. Moisture data taken from the combine, weights/yeild taken from Brent 1080 weigh wagon.",NA
238,"2020",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2020-10-12,"chop_stover",NA,"John Deere 6430","John Deere 115 drawn flail shredder",15,"feet","Corn stalks chopped in all corn plots. John Deere 6430 tractor and John Deere 115 flail mower used.",NA
239,"2020",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2020-10-12,"chop_stover",NA,"John Deere 6430","John Deere 115 drawn flail shredder",15,"feet","Corn stalks chopped in all corn plots. John Deere 6430 tractor and John Deere 115 flail mower used.",NA
240,"2020",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2020-10-30,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover raked and baled in CC and CCW plots. John Deere 6140R and John Deere 458 Silage Special baler used.",NA
241,"2020",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2020-10-30,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover raked and baled in CC and CCW plots. John Deere 6140R and John Deere 458 Silage Special baler used.",NA
242,"2020",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2020-11-16,"mow",NA,"New Holland 876","New Holland 313 discbine center-pivot disc mower",NA,NA,"All prairie plots chopped. New Holland 876 tractor and New Holland Discbine 313 windrow mower were used. Material was windrowed as it was cut.",NA
243,"2020",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2020-11-16,"mow",NA,"New Holland 876","New Holland 313 discbine center-pivot disc mower",NA,NA,"All prairie plots chopped. New Holland 876 tractor and New Holland Discbine 313 windrow mower were used. Material was windrowed as it was cut.",NA
244,"2020",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2020-11-18,"bale_biomass",NA,"John Deere 6140","John Deere 458 Silage Special round baler",3.9,"feet","Prairie biomass baled in all prairie plots.John Deere 6140 tractor and John Deere 458 Silage Special baler were used.",NA
245,"2020",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2020-11-18,"bale_biomass",NA,"John Deere 6140","John Deere 458 Silage Special round baler",3.9,"feet","Prairie biomass baled in all prairie plots.John Deere 6140 tractor and John Deere 458 Silage Special baler were used.",NA
246,"2019",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2020-12-06,"bale_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie was mowed and baled on 12/6/2019.  Prarie was mowed to a height of 6-8"" with a John Deere 6420 tractor and Case MDX91 disc mower. Material was baled on 12/6/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
247,"2019",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2020-12-06,"bale_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie was mowed and baled on 12/6/2019.  Prarie was mowed to a height of 6-8"" with a John Deere 6420 tractor and Case MDX91 disc mower. Material was baled on 12/6/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
248,"2019",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2020-12-06,"mow","7","John Deere 6420","Case IH MDX91 disc mower",NA,NA,"Prairie was mowed and baled on 12/6/2019.  Prarie was mowed to a height of 6-8"" with a John Deere 6420 tractor and Case MDX91 disc mower. Material was baled on 12/6/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
249,"2019",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2020-12-06,"mow","7","John Deere 6420","Case IH MDX91 disc mower",NA,NA,"Prairie was mowed and baled on 12/6/2019.  Prarie was mowed to a height of 6-8"" with a John Deere 6420 tractor and Case MDX91 disc mower. Material was baled on 12/6/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
250,"2019",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2020-12-06,"weigh_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie was mowed and baled on 12/6/2019.  Prarie was mowed to a height of 6-8"" with a John Deere 6420 tractor and Case MDX91 disc mower. Material was baled on 12/6/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
251,"2019",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2020-12-06,"weigh_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie was mowed and baled on 12/6/2019.  Prarie was mowed to a height of 6-8"" with a John Deere 6420 tractor and Case MDX91 disc mower. Material was baled on 12/6/2019 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
252,"2021",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2021-04-28,"harvest_plant_hand",NA,NA,NA,NA,NA,"Rye sampled for biomass in CCW plots. 4 x 0.26m2 quadrats were sampled per plot.",NA
253,"2021",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2021-10-08,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",4,"rows","Soybeans harvested in all soybean plots. John Deere 9450 plot combine with 4 row head was used. Weights and moisture values obtained from the combine. The middle 24 rows of each plot were used for data collection.",NA
254,"2021",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2021-10-19,"harvest_grain_combine",NA,NA,"John Deere 5780 combine",12,"rows","Corn harvested in all corn plots.  The middle 24 rows of each plot were used for data collection. John Deere 5780 combine with 12 row head was used.  Corn stalks were chopped by the combine. Moisture values were taken from the combine, grain weights from each plot were taken from Brent 1080 weigh wagon.",NA
255,"2021",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2021-10-19,"harvest_grain_combine",NA,NA,"John Deere 5780 combine",12,"rows","Corn harvested in all corn plots.  The middle 24 rows of each plot were used for data collection. John Deere 5780 combine with 12 row head was used.  Corn stalks were chopped by the combine. Moisture values were taken from the combine, grain weights from each plot were taken from Brent 1080 weigh wagon.",NA
256,"2021",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2021-10-19,"harvest_grain_combine",NA,NA,"John Deere 5780 combine",12,"rows","Corn harvested in all corn plots.  The middle 24 rows of each plot were used for data collection. John Deere 5780 combine with 12 row head was used.  Corn stalks were chopped by the combine. Moisture values were taken from the combine, grain weights from each plot were taken from Brent 1080 weigh wagon.",NA
257,"2021",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2021-11-02,"collect_litter",NA,NA,NA,NA,NA,"Corn stover sampled in all CC and CCW plots for PSU collaboration. Two leaf bags were filled per plot.  Each bag contains appoximately 6m2 of material. A square meter quadrat was dropped at 6 random locations within each plot. Samples were dried in the Agronomy farm drying shed at 120F for 6 days.",NA
258,"2021",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2021-11-02,"collect_litter",NA,NA,NA,NA,NA,"Corn stover sampled in all CC and CCW plots for PSU collaboration. Two leaf bags were filled per plot.  Each bag contains appoximately 6m2 of material. A square meter quadrat was dropped at 6 random locations within each plot. Samples were dried in the Agronomy farm drying shed at 120F for 6 days.",NA
259,"2021",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2021-11-03,"bale_stover",NA,"John Deere 6115R","John Deere 115 drawn flail shredder",15,"feet","Corn stover was raked and baled in all CC and CCW plots. John Deere 6125 tractor and John Deere hay rake were used. John Deere 6115R tractor and John Deere silage special baler were used.",NA
260,"2021",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2021-11-03,"bale_stover",NA,"John Deere 6115R","John Deere 115 drawn flail shredder",15,"feet","Corn stover was raked and baled in all CC and CCW plots. John Deere 6125 tractor and John Deere hay rake were used. John Deere 6115R tractor and John Deere silage special baler were used.",NA
261,"2021",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2021-11-17,"bale_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie was mowed and windrowed on 11/17/2021.  Prarie was mowed to a height of 4-6"" with John Deere 6215R tractor and John Deere 835 MoCo mower/conditioner. Material was baled on 11/17/2021 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
262,"2021",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2021-11-17,"bale_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie was mowed and windrowed on 11/17/2021.  Prarie was mowed to a height of 4-6"" with John Deere 6215R tractor and John Deere 835 MoCo mower/conditioner. Material was baled on 11/17/2021 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
263,"2021",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2021-11-17,"mow","5","John Deere 6215R","John Deere 835 mower-conditioner (moco)",NA,NA,"Prairie was mowed and windrowed on 11/17/2021.  Prarie was mowed to a height of 4-6"" with John Deere 6215R tractor and John Deere 835 MoCo mower/conditioner. Material was baled on 11/17/2021 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
264,"2021",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2021-11-17,"mow","5","John Deere 6215R","John Deere 835 mower-conditioner (moco)",NA,NA,"Prairie was mowed and windrowed on 11/17/2021.  Prarie was mowed to a height of 4-6"" with John Deere 6215R tractor and John Deere 835 MoCo mower/conditioner. Material was baled on 11/17/2021 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
265,"2021",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2021-11-17,"weigh_biomass",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Prairie was mowed and windrowed on 11/17/2021.  Prarie was mowed to a height of 4-6"" with John Deere 6215R tractor and John Deere 835 MoCo mower/conditioner. Material was baled on 11/17/2021 with a John Deere 6140R tractor and John Deere 458 Silage Special baler.  Bale weights were taken from baler.",NA
